     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
11.04.2018; ;44;20;25;27;48; 9;--;--;5;2675233;188201; 20.413.264,00;         1; 2.047.239,70;        --;           --;        53;     6.988,50;       263;     4.225,00;     1.985;       186,50;    15.677;        47,20;    38.297;        19,30;   308.971;        10,70;   298.455;         5,00
14.04.2018; ;42; 4;34;33;47; 9;--;--;6;0034422;646783; 43.753.628,00;   Jackpot; 2.800.232,10;         4;   397.460,20;        60;    13.248,60;       507;     4.703,60;     3.773;       210,60;    31.152;        51,00;    78.956;        20,10;   651.697;        10,90;   635.634;         5,00
18.04.2018; ;35;37; 7;10; 2; 4;--;--;8;5534136;187430; 20.770.905,00;   Jackpot; 4.129.570,00;         1;   755.525,40;        52;     7.264,60;       299;     3.790,20;     2.247;       168,10;    20.205;        37,30;    40.120;        18,80;   373.098;         9,10;   300.172;         5,00
21.04.2018; ;38;29;12;19;23;15;--;--;5;9296608;197674; 43.507.206,00;   Jackpot; 6.914.031,10;         2;   785.961,00;        79;     9.948,80;       600;     3.929,80;     4.545;       172,90;    33.382;        47,00;    85.176;        18,40;   666.261;        10,60;   649.984;         5,00
25.04.2018; ;17; 6;11;10;25; 4;--;--;6;1504324;176349; 21.638.022,00;         1; 8.298.864,50;         6;   124.685,50;       112;     3.339,70;       874;     1.283,90;     4.502;        83,00;    34.502;        21,60;    63.031;        11,80;   495.163;         6,70;   390.609;         5,00
28.04.2018; ;11;48; 2;33;47; 9;--;--;4;1734184;683810; 42.980.378,00;   Jackpot; 2.750.744,10;         5;   316.346,90;        84;     9.415,00;       656;     3.616,70;     4.069;       194,30;    39.915;        39,60;    78.512;        20,10;   766.277;         9,20;   584.419;         5,00
02.05.2018; ;42; 3; 5;44;19;12;--;--;7;9729186;985968; 20.417.542,00;   Jackpot; 4.057.466,70;         3;   237.287,20;        62;     5.740,80;       398;     2.682,80;     2.962;       120,10;    21.030;        33,80;    50.143;        14,10;   372.505;         8,50;   356.686;         5,00
05.05.2018; ; 5;34;49; 1;17;31;--;--;7;8340838;995548; 43.951.479,00;   Jackpot; 6.870.361,30;         5;   308.762,10;       118;     6.541,50;     1.003;     2.308,70;     6.386;       120,80;    47.599;        32,40;   105.876;        14,50;   777.250;         8,90;   744.947;         5,00
09.05.2018; ;31;37;43;25; 3; 9;--;--;5;5580233;036979; 22.330.221,00;         1; 8.299.495,40;         8;    99.595,40;       120;     3.319,80;       851;     1.404,40;     3.574;       111,40;    28.043;        28,40;    51.302;        15,50;   406.404;         8,80;   353.668;         5,00
12.05.2018; ;27;23;38;36;42;29;--;--;0;7848612;842177; 42.450.095,00;   Jackpot; 2.716.806,00;         2;   831.457,30;        48;    17.322,00;       533;     4.679,80;     2.471;       336,40;    31.207;        53,20;    47.680;        34,80;   593.311;        12,60;   375.819;         5,00
